iter	MultiClass
0	1.053430051
1	1.012109397
2	0.9697889994
3	0.9361969671
4	0.9021275563
5	0.8728543758
6	0.8446377723
7	0.8215340749
8	0.8005722322
9	0.7779776874
10	0.7599218781
11	0.7398412632
12	0.7203593294
13	0.7088988842
14	0.6912600239
15	0.6793854214
16	0.6675077201
17	0.6541466151
18	0.6405252356
19	0.6279913963
20	0.6169820857
21	0.6071808495
22	0.5974498649
23	0.5881126807
24	0.5787390215
25	0.5720735275
26	0.5638299978
27	0.5572001019
28	0.5497535668
29	0.5430292893
30	0.5364081775
31	0.5300224711
32	0.5245306619
33	0.519324502
34	0.5142681412
35	0.5095537615
36	0.5064904386
37	0.5019985297
38	0.498040319
39	0.4949780638
40	0.4909333962
41	0.4885284843
42	0.4846244023
43	0.4811851057
44	0.478341154
45	0.4749764378
46	0.4718859336
47	0.468857418
48	0.4673594409
49	0.4646309181
50	0.4617853065
51	0.4590813697
52	0.4568701157
53	0.4551583014
54	0.4529613488
55	0.4515315467
56	0.449385607
57	0.4478068693
58	0.446690713
59	0.4447222996
60	0.4428479247
61	0.4412135839
62	0.4392633929
63	0.4376932569
64	0.4361890442
65	0.4351922141
66	0.4336666271
67	0.4323346746
68	0.4308919966
69	0.4298157302
70	0.4290728328
71	0.4278645537
72	0.4271951424
73	0.4266561085
74	0.4258112827
75	0.424814877
76	0.4242222346
77	0.4231261243
78	0.422434105
79	0.4217989686
80	0.4211221262
81	0.4205478906
82	0.4202362655
83	0.4193837574
84	0.4188632295
85	0.4182288394
86	0.417553274
87	0.4169171828
88	0.4162903913
89	0.4158446683
90	0.4154119547
91	0.4150555748
92	0.4148138941
93	0.4143384513
94	0.413961021
95	0.4137302811
96	0.4132626973
97	0.4124510931
98	0.41210906
99	0.4118593577
100	0.41161962
101	0.4111792514
102	0.4106819601
103	0.4103171139
104	0.4096224003
105	0.4091185689
106	0.4085387492
107	0.408093696
108	0.4077038364
109	0.4073083153
110	0.4068422803
111	0.4064738747
112	0.4061192349
113	0.4059349945
114	0.4057951855
115	0.4054092846
116	0.4050252816
117	0.4047039828
118	0.4045200655
119	0.4043859505
120	0.4041880056
121	0.4039434724
122	0.4035179886
123	0.403252535
124	0.4029045317
125	0.4027783477
126	0.4027416838
127	0.4024925425
128	0.4021678177
129	0.4018696715
130	0.4016499427
131	0.401331986
132	0.4011500105
133	0.4009507889
134	0.4007372432
135	0.4005191923
136	0.4004519356
137	0.4002641885
138	0.4000675925
139	0.3999056227
140	0.3997047306
141	0.399507896
142	0.399304698
143	0.3990220861
144	0.3988863462
145	0.3986927894
146	0.3984599731
147	0.3983629837
148	0.3983179713
149	0.398255125
150	0.3978944257
151	0.3977844544
152	0.3976281676
153	0.3973720399
154	0.3972538826
155	0.397102516
156	0.3969171739
157	0.3967610202
158	0.3965524555
159	0.3963623831
160	0.3961454276
161	0.3959699078
162	0.3958073013
163	0.3956083985
164	0.3954567578
165	0.3953634288
166	0.3953490822
167	0.3950987166
168	0.3949652642
169	0.3948719805
170	0.3947374142
171	0.3945570866
172	0.394398593
173	0.394296533
174	0.3941845421
175	0.3940115835
176	0.3939463239
177	0.3938489686
178	0.393647608
179	0.3935348743
180	0.3933757983
181	0.3932351867
182	0.3930674011
183	0.3929706347
184	0.3928091831
185	0.3926721523
186	0.3925442877
187	0.39241897
188	0.3923192734
189	0.3922137989
190	0.3920658164
191	0.3919738698
192	0.3918962159
193	0.3918395399
194	0.3917518751
195	0.3916626521
196	0.3915537179
197	0.391488589
198	0.3914033427
199	0.391310879
200	0.3912605619
201	0.3911832133
202	0.3910707406
203	0.3909828979
204	0.3908655508
205	0.3907868851
206	0.390658339
207	0.3905686292
208	0.3904671132
209	0.3903720483
210	0.3902900264
211	0.3902133687
212	0.3901089129
213	0.390016862
214	0.3899607408
215	0.3898773036
216	0.3897998662
217	0.3897176611
218	0.3896575722
219	0.389580268
220	0.3895202147
221	0.3894354581
222	0.389350154
223	0.3892705109
224	0.3891867245
225	0.3891154654
226	0.3890589129
227	0.3889848967
228	0.3889025621
229	0.3888411632
230	0.3887943106
231	0.3887271043
232	0.3886779374
233	0.3886329287
234	0.3885893904
235	0.3885385316
236	0.3884650491
237	0.3884048808
238	0.3883606735
239	0.3883102158
240	0.3882668154
241	0.3882277224
242	0.3881755131
243	0.3881262338
244	0.3880933917
245	0.388051871
246	0.3880234907
247	0.3879669207
248	0.3879393798
249	0.38790913
250	0.3878553283
251	0.3878093466
252	0.3877786334
253	0.3877318538
254	0.38769055
255	0.3876454609
256	0.3875969661
257	0.3875563421
258	0.387521109
259	0.3874806943
260	0.3874454478
261	0.3874241991
262	0.3873849847
263	0.3873508683
264	0.3873092829
265	0.3872694485
266	0.3872368832
267	0.3872055722
268	0.387164977
269	0.3871316649
270	0.3870972431
271	0.3870544355
272	0.3870206924
273	0.3869787639
274	0.3869416913
275	0.386909719
276	0.3868799953
277	0.3868479876
278	0.3868114654
279	0.3867830376
280	0.3867551874
281	0.3867216733
282	0.3866876281
283	0.3866641744
284	0.3866366703
285	0.3866059979
286	0.3865780622
287	0.3865509663
288	0.3865302005
289	0.3865142113
290	0.3864750977
291	0.3864495072
292	0.3864282971
293	0.3864015517
294	0.3863683886
295	0.3863408471
296	0.3863234873
297	0.3863082436
298	0.3862835476
299	0.3862639059
300	0.3862475762
301	0.3862190021
302	0.3861830723
303	0.3861662696
304	0.386145576
305	0.3861299523
306	0.3861091616
307	0.3860893916
308	0.3860716217
309	0.3860581274
310	0.386036796
311	0.3860118926
312	0.3859930264
313	0.3859782181
314	0.3859561268
315	0.3859316188
316	0.3859121604
317	0.3858955131
318	0.3858728262
319	0.3858526634
320	0.3858446921
321	0.3858211585
322	0.3857946741
323	0.3857719572
324	0.3857501356
325	0.3857413641
326	0.3857251065
327	0.3857073634
328	0.3856878261
329	0.385661443
330	0.3856422451
331	0.3856192263
332	0.3856005935
333	0.385578562
334	0.3855629173
335	0.3855492905
