iter	Passed	Remaining
0	2	1059
1	4	1243
2	12	2107
3	17	2135
4	21	2155
5	29	2451
6	37	2626
7	41	2557
8	43	2386
9	51	2520
10	59	2648
11	66	2717
12	73	2770
13	75	2615
14	79	2572
15	81	2462
16	83	2384
17	91	2438
18	98	2494
19	105	2533
20	112	2566
21	115	2501
22	122	2536
23	129	2570
24	137	2609
25	139	2537
26	146	2572
27	151	2547
28	158	2577
29	165	2599
30	174	2634
31	181	2654
32	188	2672
33	196	2699
34	204	2717
35	211	2730
36	213	2673
37	217	2649
38	225	2662
39	229	2638
40	237	2653
41	240	2617
42	247	2632
43	254	2642
44	262	2649
45	269	2659
46	277	2670
47	284	2677
48	285	2627
49	293	2639
50	300	2649
51	309	2663
52	313	2644
53	318	2626
54	326	2642
55	335	2657
56	343	2669
57	346	2637
58	348	2601
59	355	2608
60	362	2610
61	369	2613
62	378	2625
63	386	2632
64	394	2637
65	398	2620
66	406	2624
67	413	2627
68	421	2631
69	429	2637
70	436	2639
71	444	2641
72	452	2645
73	456	2628
74	464	2631
75	472	2637
76	476	2619
77	484	2619
78	488	2602
79	495	2602
80	503	2604
81	506	2582
82	508	2552
83	515	2551
84	517	2528
85	525	2528
86	532	2528
87	539	2527
88	547	2527
89	550	2508
90	557	2506
91	559	2482
92	561	2455
93	563	2434
94	571	2435
95	573	2411
96	574	2388
97	582	2389
98	585	2370
99	587	2348
100	588	2326
101	591	2308
102	595	2295
103	603	2297
104	610	2296
105	615	2285
106	623	2288
107	631	2293
108	639	2295
109	647	2295
110	654	2294
111	662	2296
112	669	2293
113	672	2275
114	673	2255
115	681	2254
116	688	2253
117	692	2242
118	698	2235
119	701	2222
120	704	2206
121	713	2210
122	720	2209
123	728	2209
124	736	2209
125	740	2199
126	742	2180
127	747	2171
128	754	2170
129	762	2169
130	769	2168
131	777	2167
132	784	2165
133	792	2165
134	797	2155
135	804	2153
136	805	2135
137	810	2125
138	818	2124
139	825	2123
140	833	2123
141	841	2121
142	845	2110
143	852	2107
144	860	2105
145	864	2096
146	872	2094
147	879	2091
148	883	2081
149	884	2064
150	892	2062
151	894	2048
152	901	2045
153	909	2042
154	911	2028
155	918	2025
156	922	2015
157	929	2012
158	937	2009
159	944	2007
160	952	2005
161	959	2001
162	966	1998
163	974	1997
164	981	1993
165	988	1989
166	990	1974
167	997	1970
168	1004	1967
169	1011	1963
170	1018	1960
171	1023	1950
172	1030	1947
173	1036	1942
174	1043	1938
175	1051	1935
176	1053	1922
177	1057	1913
178	1065	1909
179	1071	1905
180	1079	1901
181	1085	1897
182	1092	1893
183	1099	1888
184	1106	1884
185	1114	1881
186	1121	1877
187	1125	1868
188	1133	1864
189	1139	1859
190	1147	1856
191	1154	1852
192	1162	1848
193	1166	1839
194	1173	1835
195	1177	1826
196	1185	1823
197	1192	1818
198	1199	1815
199	1207	1810
200	1208	1798
201	1215	1793
202	1222	1789
203	1230	1785
204	1237	1781
205	1244	1776
206	1252	1772
207	1259	1768
208	1267	1764
209	1274	1759
210	1281	1754
211	1288	1750
212	1295	1745
213	1302	1740
214	1310	1736
215	1317	1732
216	1324	1727
217	1331	1722
218	1338	1717
219	1345	1712
220	1352	1707
221	1359	1702
222	1367	1698
223	1374	1693
224	1382	1689
225	1389	1684
226	1396	1679
227	1403	1674
228	1410	1669
229	1418	1665
230	1426	1660
231	1433	1656
232	1441	1651
233	1448	1646
234	1456	1642
235	1463	1637
236	1471	1632
237	1478	1627
238	1485	1622
239	1493	1617
240	1501	1613
241	1509	1609
242	1517	1604
243	1524	1599
244	1532	1594
245	1540	1590
246	1548	1586
247	1556	1581
248	1564	1576
249	1571	1571
250	1579	1566
251	1586	1561
252	1595	1557
253	1604	1553
254	1612	1549
255	1619	1543
256	1626	1538
257	1633	1532
258	1641	1527
259	1648	1521
260	1655	1516
261	1663	1510
262	1671	1505
263	1678	1500
264	1686	1495
265	1693	1490
266	1700	1484
267	1708	1478
268	1715	1473
269	1723	1468
270	1730	1462
271	1738	1457
272	1745	1451
273	1752	1445
274	1759	1439
275	1766	1433
276	1773	1427
277	1780	1421
278	1788	1416
279	1796	1411
280	1803	1405
281	1810	1399
282	1817	1393
283	1825	1388
284	1832	1382
285	1838	1375
286	1846	1370
287	1853	1364
288	1860	1358
289	1867	1352
290	1875	1346
291	1882	1341
292	1889	1335
293	1896	1329
294	1904	1323
295	1912	1317
296	1919	1311
297	1926	1305
298	1933	1299
299	1940	1293
300	1947	1287
301	1954	1281
302	1962	1275
303	1971	1271
304	1979	1265
305	1986	1259
306	1994	1253
307	2001	1247
308	2009	1242
309	2017	1236
310	2024	1230
311	2032	1224
312	2040	1218
313	2051	1215
314	2059	1209
315	2066	1203
316	2074	1197
317	2081	1191
318	2088	1185
319	2096	1179
320	2100	1171
321	2107	1165
322	2114	1158
323	2122	1152
324	2129	1146
325	2133	1138
326	2140	1132
327	2148	1126
328	2155	1120
329	2163	1114
330	2170	1108
331	2177	1102
332	2185	1095
333	2192	1089
334	2199	1083
335	2200	1074
336	2208	1068
337	2215	1061
338	2222	1055
339	2230	1049
340	2237	1043
341	2244	1037
342	2251	1030
343	2259	1024
344	2267	1018
345	2274	1012
346	2281	1006
347	2289	999
348	2296	993
349	2303	987
350	2311	981
351	2318	974
352	2325	968
353	2332	962
354	2340	956
355	2347	949
356	2355	943
357	2363	937
358	2367	929
359	2374	923
360	2381	917
361	2389	910
362	2396	904
363	2404	898
364	2411	891
365	2418	885
366	2426	879
367	2434	873
368	2442	867
369	2449	860
370	2452	852
371	2454	844
372	2461	838
373	2469	831
374	2476	825
375	2479	817
376	2486	811
377	2493	804
378	2500	798
379	2508	792
380	2515	785
381	2522	779
382	2529	772
383	2536	766
384	2544	759
385	2551	753
386	2559	747
387	2567	740
388	2574	734
389	2581	728
390	2588	721
391	2595	715
392	2602	708
393	2610	702
394	2611	694
395	2618	687
396	2626	681
397	2633	674
398	2637	667
399	2644	661
400	2651	654
401	2659	648
402	2666	641
403	2674	635
404	2681	629
405	2689	622
406	2696	616
407	2703	609
408	2710	603
409	2717	596
410	2724	590
411	2731	583
412	2739	576
413	2746	570
414	2753	563
415	2760	557
416	2762	549
417	2769	543
418	2776	536
419	2783	530
420	2790	523
421	2797	517
422	2804	510
423	2811	503
424	2819	497
425	2826	491
426	2834	484
427	2841	478
428	2849	471
429	2857	465
430	2864	458
431	2871	451
432	2879	445
433	2886	439
434	2894	432
435	2902	425
436	2910	419
437	2917	413
438	2925	406
439	2932	399
440	2940	393
441	2947	386
442	2954	380
443	2961	373
444	2969	367
445	2976	360
446	2983	353
447	2990	347
448	2997	340
449	3004	333
450	3011	327
451	3019	320
452	3026	313
453	3033	307
454	3040	300
455	3047	294
456	3055	287
457	3062	280
458	3069	274
459	3077	267
460	3084	260
461	3091	254
462	3099	247
463	3106	241
464	3113	234
465	3120	227
466	3128	221
467	3135	214
468	3143	207
469	3150	201
470	3158	194
471	3165	187
472	3173	181
473	3180	174
474	3188	167
475	3195	161
476	3202	154
477	3209	147
478	3217	141
479	3225	134
480	3233	127
481	3240	121
482	3247	114
483	3255	107
484	3262	100
485	3270	94
486	3273	87
487	3281	80
488	3288	73
489	3296	67
490	3304	60
491	3313	53
492	3320	47
493	3328	40
494	3337	33
495	3344	26
496	3352	20
497	3361	13
498	3369	6
499	3377	0
