tiempo_espera,abierta,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,hora_num,zona_DC Super Heroes World,zona_Movie World Studios,zona_Old West Territory,dia_semana_Miércoles,dia_semana_Sábado,dia_semana_Thursday,dia_semana_Viernes,temporada_baja
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
15,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
20,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
20,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
15,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,True,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,True,False,False,False,True,False,False
20,1,10,0,17.2,71,16.5,2,16,False,False,True,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,True,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
999,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
15,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
15,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,True,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,True,False,False,False,True,False,False
30,1,10,0,17.2,71,16.5,2,16,False,False,True,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,True,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
20,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,False,False,False,False,False,True,False,False
10,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
20,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
5,1,10,0,17.2,71,16.5,2,16,True,False,False,False,False,True,False,False
